trade_id,trade_date,settlement_date,settlement_cycle_days,counterparty_id,counterparty_name,counterparty_region,instrument_id,instrument_type,instrument_liquidity_score,currency,is_cross_border,is_cross_currency,trade_value_usd,ssi_mismatch_flag,counterparty_historical_fail_rate,settlement_failed
TRD0000115,2024-07-20,2024-07-21,1,CPTY0036,Smith-Bowen,UK,ISIN000025,Government Bond,0.659,SGD,1,1,24696.6,0,0.191,0
TRD0000116,2024-08-06,2024-08-08,2,CPTY0063,"West, Henderson and Ramirez",SG,ISIN000172,ETF,0.753,AUD,1,1,48582.9,0,0.154,0
TRD0000117,2025-01-08,2025-01-10,2,CPTY0091,"Smith, Montoya and Evans",CH,ISIN000181,Corporate Bond,0.675,INR,1,1,15242.01,0,0.197,0
TRD0000118,2025-07-06,2025-07-08,2,CPTY0058,Lee-Davis,SG,ISIN000120,Equity,0.656,USD,1,0,48555.41,0,0.006,0
TRD0000119,2025-10-19,2025-10-20,1,CPTY0113,Gonzalez Group,UK,ISIN000173,Government Bond,0.851,SGD,1,1,41219.0,0,0.227,0
TRD0000120,2026-04-23,2026-04-25,2,CPTY0000,"Rodriguez, Figueroa and Sanchez",UK,ISIN000248,Corporate Bond,0.832,ZAR,1,1,31440.97,1,0.056,1
TRD0000121,2026-02-18,2026-02-21,3,CPTY0091,"Smith, Montoya and Evans",CH,ISIN000097,ADR,0.832,USD,1,0,169765.96,0,0.236,1
TRD0000122,2024-08-27,2024-08-29,2,CPTY0016,James Group,IN,ISIN000027,Corporate Bond,0.862,SGD,1,1,246317.68,0,0.298,0
TRD0000123,2025-06-20,2025-06-22,2,CPTY0016,James Group,IN,ISIN000012,ADR,0.812,USD,1,0,10249.94,0,0.234,0
TRD0000124,2025-05-19,2025-05-20,1,CPTY0012,Arnold Ltd,US,ISIN000087,Government Bond,0.495,CHF,0,1,34294.56,0,0.191,0
TRD0000125,2026-05-21,2026-05-23,2,CPTY0069,Hancock Inc,JP,ISIN000062,ETF,0.835,SGD,1,1,334718.81,0,0.079,0
TRD0000126,2025-11-03,2025-11-05,2,CPTY0062,Wright and Sons,BR,ISIN000140,Corporate Bond,0.496,BRL,1,1,31878.31,0,0.114,0
TRD0000127,2025-09-22,2025-09-24,2,CPTY0038,Harrell LLC,UK,ISIN000254,Corporate Bond,0.961,JPY,1,1,8462.14,0,0.135,0
TRD0000128,2024-11-30,2024-12-02,2,CPTY0032,"Ferrell, Rice and Maddox",EU,ISIN000025,Government Bond,0.659,JPY,1,1,226568.87,0,0.147,0
TRD0000129,2026-01-10,2026-01-11,1,CPTY0094,Campbell-Clark,ZA,ISIN000083,Equity,0.974,SGD,1,1,1060589.81,0,0.384,0
TRD0000130,2025-12-24,2025-12-26,2,CPTY0057,"Johnston, Sanchez and Kennedy",JP,ISIN000183,Government Bond,0.556,USD,1,0,3303.86,0,0.19,0
TRD0000131,2025-04-26,2025-04-28,2,CPTY0049,"Harris, Collins and Carney",IN,ISIN000116,Corporate Bond,0.879,AUD,1,1,7010.36,0,0.299,0
TRD0000132,2025-07-20,2025-07-23,3,CPTY0084,"Evans, Stewart and Walton",JP,ISIN000134,Equity,0.631,SGD,1,1,30352.03,0,0.159,0
TRD0000133,2025-05-08,2025-05-11,3,CPTY0039,"Romero, Gonzalez and Brooks",AU,ISIN000102,Government Bond,0.564,GBP,1,1,8408.49,0,0.239,0
TRD0000134,2025-01-07,2025-01-09,2,CPTY0083,"Edwards, Baker and Anderson",US,ISIN000281,Corporate Bond,0.785,GBP,0,1,770961.38,0,0.0,0
TRD0000135,2024-10-24,2024-10-26,2,CPTY0084,"Evans, Stewart and Walton",JP,ISIN000104,Money Market,0.671,BRL,1,1,211529.08,0,0.171,0
TRD0000136,2025-11-23,2025-11-24,1,CPTY0090,"Turner, Riggs and Roman",JP,ISIN000229,Government Bond,0.395,SGD,1,1,125162.86,0,0.087,0
TRD0000137,2025-12-18,2025-12-20,2,CPTY0044,"Arroyo, Miller and Tucker",ZA,ISIN000237,Equity,0.922,ZAR,1,1,130230.7,0,0.188,0
TRD0000138,2024-07-06,2024-07-09,3,CPTY0070,Gray Group,SG,ISIN000167,Corporate Bond,0.726,USD,1,0,24891.69,0,0.09,0
TRD0000139,2026-05-26,2026-05-27,1,CPTY0049,"Harris, Collins and Carney",IN,ISIN000215,Money Market,0.856,SGD,1,1,23835.25,0,0.27,0
TRD0000140,2026-02-05,2026-02-06,1,CPTY0019,"Reid, Ferguson and Sanchez",IN,ISIN000020,Corporate Bond,0.861,INR,1,1,13526.4,0,0.057,0
TRD0000141,2026-05-01,2026-05-02,1,CPTY0057,"Johnston, Sanchez and Kennedy",JP,ISIN000236,Government Bond,0.772,USD,1,0,97947.82,0,0.122,0
TRD0000142,2026-02-20,2026-02-21,1,CPTY0111,"Shields, Cochran and Adams",IN,ISIN000134,Equity,0.631,SGD,1,1,1426.78,0,0.168,0
TRD0000143,2026-05-20,2026-05-21,1,CPTY0034,"Dyer, Potter and Mack",AU,ISIN000213,Money Market,0.678,JPY,1,1,129876.88,0,0.344,0
TRD0000144,2024-09-22,2024-09-24,2,CPTY0119,"Rivera, Johnson and Wiley",CH,ISIN000121,Equity,0.678,AUD,1,1,346875.54,0,0.244,0
TRD0000145,2026-02-26,2026-02-27,1,CPTY0053,"Robinson, Jones and Welch",CH,ISIN000068,ETF,0.348,SGD,1,1,94485.48,0,0.285,0
TRD0000146,2025-05-28,2025-05-29,1,CPTY0020,Gray-Mayo,JP,ISIN000171,Government Bond,0.831,SGD,1,1,27119.26,0,0.142,0
TRD0000147,2024-12-18,2024-12-19,1,CPTY0024,"Walter, Edwards and Rios",ZA,ISIN000015,ADR,0.628,EUR,1,1,49464.22,0,0.156,0
TRD0000148,2024-11-15,2024-11-17,2,CPTY0015,Galloway-Wyatt,JP,ISIN000113,Money Market,0.795,USD,1,0,142239.05,0,0.069,0
TRD0000149,2026-03-18,2026-03-21,3,CPTY0115,Walker Ltd,UK,ISIN000251,Corporate Bond,0.907,BRL,1,1,86059.74,0,0.118,0
TRD0000150,2025-12-24,2025-12-25,1,CPTY0065,Morton-Chase,AU,ISIN000226,ADR,0.732,AUD,1,1,37132.88,0,0.03,0
TRD0000151,2025-08-08,2025-08-09,1,CPTY0087,Anderson-Bailey,BR,ISIN000148,ETF,0.927,EUR,1,1,198039.93,0,0.075,0
TRD0000152,2025-06-27,2025-06-30,3,CPTY0068,Russell Group,AU,ISIN000133,Equity,0.54,USD,1,0,852748.74,0,0.0,0
TRD0000153,2024-08-10,2024-08-11,1,CPTY0018,"Adams, Zuniga and Wong",US,ISIN000138,Equity,0.82,JPY,0,1,34832.31,0,0.154,0
TRD0000154,2025-09-07,2025-09-08,1,CPTY0091,"Smith, Montoya and Evans",CH,ISIN000110,Money Market,0.51,USD,1,0,102859.77,1,0.175,1
TRD0000155,2025-01-11,2025-01-13,2,CPTY0117,Rasmussen LLC,EU,ISIN000121,Equity,0.678,GBP,1,1,831536.59,1,0.221,0
TRD0000156,2026-06-14,2026-06-15,1,CPTY0014,Williams and Sons,JP,ISIN000049,Corporate Bond,0.91,GBP,1,1,93927.93,0,0.264,0
TRD0000157,2026-04-21,2026-04-23,2,CPTY0062,Wright and Sons,BR,ISIN000080,ETF,0.655,EUR,1,1,23152.49,0,0.09,0
TRD0000158,2024-10-04,2024-10-06,2,CPTY0008,Garcia-James,UK,ISIN000120,Equity,0.656,JPY,1,1,37830.82,0,0.209,0
TRD0000159,2025-06-21,2025-06-23,2,CPTY0027,"Hoffman, Baker and Richards",US,ISIN000103,Equity,0.736,CHF,0,1,4321.71,0,0.202,0
TRD0000160,2024-10-13,2024-10-14,1,CPTY0011,Dudley Group,US,ISIN000030,ADR,0.743,GBP,0,1,124352.68,1,0.284,0
TRD0000161,2026-03-16,2026-03-18,2,CPTY0114,Torres-Pope,US,ISIN000146,Corporate Bond,0.849,ZAR,0,1,3749.46,0,0.363,0
TRD0000162,2025-06-27,2025-06-30,3,CPTY0096,Wagner-King,ZA,ISIN000190,ADR,0.755,EUR,1,1,16155.89,0,0.082,0
TRD0000163,2025-12-02,2025-12-03,1,CPTY0092,"Garcia, Humphrey and Baker",AU,ISIN000226,ADR,0.732,CHF,1,1,308532.8,0,0.083,0
TRD0000164,2025-08-18,2025-08-19,1,CPTY0044,"Arroyo, Miller and Tucker",ZA,ISIN000215,Money Market,0.856,ZAR,1,1,12079.23,0,0.169,0
TRD0000165,2025-09-09,2025-09-10,1,CPTY0031,Carlson-Cruz,SG,ISIN000065,Government Bond,0.639,CHF,1,1,58214.24,0,0.233,0
TRD0000166,2025-10-07,2025-10-09,2,CPTY0073,"Stanley, Tucker and Lee",EU,ISIN000228,Corporate Bond,0.888,SGD,1,1,255818.42,0,0.0,0
TRD0000167,2025-03-05,2025-03-07,2,CPTY0011,Dudley Group,US,ISIN000130,ADR,0.468,JPY,0,1,6175.74,0,0.245,0
TRD0000168,2026-02-08,2026-02-09,1,CPTY0062,Wright and Sons,BR,ISIN000227,Government Bond,0.762,ZAR,1,1,180499.61,0,0.164,0
